text;topics;sentiments;date;rating;source;id;author;title;product_category;sentiment
"В феврале 2024 года я решил оформить карту Union Pay в Газпромбанке, поскольку мне нужна была карта для использования за границей. В момент оформления с меня сразу списали 5 000 рублей в качестве комиссии, но было обещано, что эта сумма будет возвращена, если я буду ежемесячно тратить более 10 000 рублей. Однако, к сожалению, всё оказалось не так просто, и я столкнулся с \*\*\*\*\*.

За февраль, март и апрель мои расходы по карте существенно превышали минимальные требования:

Февраль: 233 858,82 ₽

Март: 189 884,26 ₽

Апрель: 167 795,34 ₽

Как видно, условия по ежемесячным тратам я выполнил с большим запасом. Тем не менее, возврат комиссии за оформление карты так и не был произведён.

Я несколько раз звонил на горячую линию, чтобы убедиться, что всё идёт по плану, и сотрудники подтверждали, что условия выполняются и возврат будет.

Я также обращался в чат поддержки, где, к сожалению, столкнулся с неэффективностью чат-бота. Все мои попытки разобраться в ситуации не принесли результата.

Когда я в очередной раз связался с банком в мае для уточнения даты получения возврата платы за оформление, мне сказали, что условия выполнены не были, но не смогли объяснить, в чём именно проблема. Ощущение, что меня просто \*\*\*\*\*.

Карта действительно пригодилась в поездках, хотя в Южной Корее возникли сложности со снятием наличных. Зато в Дубае и Китае она работала без проблем.

Несмотря на это, доверие к банку оказалось подорвано из-за недопонимания и отсутствия чёткого ответа со стороны службы поддержки.

Хотя карта Union Pay от Газпромбанка может быть удобной для использования за границей, ситуация с невозвратом комиссии за её оформление оставила крайне неприятное впечатление. Считаю, что меня попросту \*\*\*\*\*. Лучше оформить карту в других банках. Надеюсь, мой опыт поможет другим избежать подобных проблем.";;;08.08.2024;1;sravni.ru;10244;Арсений Щербинин;Отзыв об о***** при оформлении карты Union Pay в Газпромбанке;Другое;negative
Крайняя не компетентность сотрудников и службы поддержки. При оформлении кары Юнион Пей платеж за активацию карты 5 000 рублей. И сотрудники тут же говорят не волнуйтесь вы можете выполнить два условия либо в течении 3 месяцев оплачивать с карты по 10 000 рублей либо держать не снижаемый остаток на карте 15 000 рублей и эта сумма вам вернется. И вот вы пользуетесь этой картой которая не вовсех магазинах РФ принимается и далеко не во всех магазинах принимается за границей. Держите не снижаемый остаток 15 000 рублей. Проходит 90 дней, а возврата активационной суммы нет. И тут выясняется что надо было держать не 15 000 не снижаемого остатка, а 50 000 рублей. Тоесть они специально озвучивают не правильные условия что бы выполнивших их было как можно меньше. Рассмотрев вопрос служба поддержки говорит мол мы Вам ответим в течении 15 дней через СМС. Ну тоесть послали по вопросам обслуживания китайской системы к знаменитой катайской горе Кху Ям. Спасибо за то что Вы есть.;;;05.08.2024;1;sravni.ru;10245;Лев Леонидович Остененко;Крайняя не компетентность сотрудников и службы поддержки;Повседневные финансы и платежи - Мобильный банк;positive
"Добрый день. Однажды в конце мая решил оформить карту Union Pay, в Газпромбанке, для того чтобы легче было платить за границей.

Было одно НО — выпуск карты стоил 5000 рублей, оператор меня ободрил что эти деньги можно вернуть при условии если у тебя на балансе будет несгораемый остаток в размере 10.000 Руб, или каждый месяц нужно тратить не менее 10.000.

Затем я отправился в банк по адресу, Московский проспект 205, город Санк-петербург. Впечатления от работы банка остались не очень так как пришлось просидеть 50 минут, чтобы меня наконец-то пригласили на получение заветной карты. После того как меня пригласили, в кабинете меня ждала милая девушка, объяснила все условия, я еще раз переспросил по поводу возврата 5000 за выпуск карты, и уточнил нужно ли мне положить деньги именно сегодня или я могу сделать это в любой другой день, на что она ответила что я могу сделать это в любой другой день.

Теперь спустя два месяца я связался с сотрудниками банка чтобы уточнить этот момент, и меня поставили перед фактом что эти деньги я вернуть не смогу так как положил деньги на карту позже чем 1-2 дня с момента получения карты. Об этом условии (про 1-2 дня я услышал впервые). И после услышанного, кроме как слова \*\*\*\*\* в моей голове другого слова не возникает.

Поэтому хотел бы вас предостеречь от работы с этим банком. Советую найти другой способ.";;;05.08.2024;1;sravni.ru;10246;Алексей None;Газпромбанк не хочет возвращать 5000 руб за выпуск карты Юнион Пэй;Повседневные финансы и платежи;neutral
Самая безобразная служба поддержки. Пятый день пытаюсь выяснить, почему нет акционного баннера. Получаю только отписки, что все операторы заняты, а по телефону время ожидания больше 25 минут;;;05.08.2024;1;sravni.ru;10247;Надежда Овчинникова;Отвратительная работа службы поддержки;Другое;neutral
Никогда ранее не брала кредитки, но пришлось оформить кредитную карту от Газпромбанка для поездки за границу. То что бесплатное обслуживание карты — это ложь! Каждый месяц идут списания, даже если ей не пользуешься. При закрытии карты я погасила задолженность перед банком, но внесла по ошибке лишнии деньги, порядка 57 тыс рублей. Хотела перевести их на текущий счет в этом же банке. Но мобильное приложение выдает ошибку и не одну неделю пишет про проблемы технического характера, которые якобы решаются. Обращения в банк через чат-бот не дают никаких результатов. Таким образом, деньги, не имеющие отношения к кредиту в ГПБ заморожены, возможно крутят в оборотах их (мои средства же не единственные, наверняка много людей попали в такую ситуацию). Если нет жесткой необходимости в кредитке, не обормляйте ее или обращайтесь в другой банк!;;;05.08.2024;1;sravni.ru;10248;Ольга Михайлова;Обдираловка по кредитной карте;Повседневные финансы и платежи - Ведение валютных счетов;negative
Обратилась 01 августа за открытием накопительно счета на Большевиков 3.Вызвался талон к Елизавете Б. в окно 10.Никто из сотрудников не подсказал куда пройти. Найдя нужно окно Елизавета в претензионной форме сказала что «я ЭТУ 2 раза вызывала и теперь я занята.» На мой вопрос почему премиальный менеджер со мной так разговаривает, она ответила, а что такого я Вас ничем не оскорбила. Консультант перенаправил меня к Ситоре М.. Я озвучила что хочу внести на счет крупную сумму денег через кассу. Она меня игнорировала попросила выйти в зал и идти и внести эти деньги в банкомат, который находится в зоне 24 где общедоступное место и нет ощущения безопасности. Сотрудник вступила со мной в спор, убеждая что так делают все, игнорируя мою просьбу. И это премиальное обслуживание. Больше желания посещать данный офис у меня нет. Прошу принять меры дисциплинарного взыскания с данных сотрудников.;;;03.08.2024;1;sravni.ru;10249;Татьяна None;***** поведение сотрудников;Повседневные финансы и платежи - Ведение валютных счетов;positive
Здравствуйте, Газпромбанк! Уже в который раз пишу вам за кешбэк! Уже надоели вы и ваш банк! Который \*\*\*\*\* на ровном месте за начисления кешбэка! По карте ежемесячно трачу по 200-300 тр! Полностью за весь месяц расходов, не начислили кешбэк! За покупки в медицине и магазинах, за которые раньше начисляли, сейчас снова не начисляют! Я отказалась от другого банка, в пользу вашего, только из-за кешбэка! Если вы не решите проблему и все снова будет повторятся! Буду выводить деньги с счетов вашего банка и больше не пользоваться дебетовой картой! Пойду в клиенты к более ответственному банку! Решайте проблему или минус клиент! Если ваши клиенты для вас что-то значат!;;;03.08.2024;1;sravni.ru;10250;Анна Марцевая;Не начисляют кешбэк, а вернее начисляют когда банку удобно! Хотели начислили, захотели нет!;Повседневные финансы и платежи;positive
"Взяла карту, выполнила условия, кешбек не получила. Составила одно обращение — написали, что я не являюсь участником. Хотя я им являюсь, что вижу приложении. Причем с самого начала пользования картой. Собственно, зачем тогда она мне нужна была? Составила следующее обращение — ответа так и нет, вышли уже все сроки рассмотрения. Составили ещё одно обращение на обращение, чтобы ускорить. А воз и ныне там. И акция продолжается. С более жёсткими условиями. Даже не тратьте свое время — ничего не получите! Даже ответа в положенный по законодательству срок.
Екатерина Сергеевна! Ваше обращение № 1817548 от 01.07.2024 Зарегистрировано. Банк ГПБ (АО). С тех пор только отписки с извинениями.";;;02.08.2024;1;sravni.ru;10251;Екатерина Кокорева;Нет кешбека по акции «Карта на мечту». Обман!;Повседневные финансы и платежи;positive
"По рекомендации оформила карту и вклад в Газпром банке, попросила сотрудника помочь с оформлением «Газпром привелегиями» что бы вклад стал максимальный 18.5, К моему сожалению спустя месяц увидела процент по вкладу ниже, хотя все условия мной были выполнены.
На моё удивление залезла в приложение для поиска привилегий, оказалось что они не подключены. Решила подключить сама. Первый месяц 99₽, со сторого 299₽, и кто бы ожидал что спишут за приведении 2 раза. Списали 1.07 И следующее списание 8.07. Спросив у сотрудника банка про эту акцию в 99₽, была ли она не неделю подключения, сотрудник ответил нет и не понимает почему так произошло. Сотрудник банка помог оформить обращение по этому поводу, а ответ на обращение содержал лишь рекламный характер «спасибо что вы с нами»
Ни я, ни сотрудник банка так и не могла расшифровать ответ.
По сути воспользовалась Газпром привилегиями я месяц и одну неделю по двойному тарифу. Вот такие пртвелегии у них и непонятные списания средств. А ещё упущенные средств по вкладам, когда можно было в другом банке сделать вклад, я сделала в Газпром, в котором то ли из-за работника банка потеряла %, то ли из-за постоянных сбоев в системе.
С этим банком не чувствую что мои средства в безопасности, очень жаль, так как их система кэшбека мне понравилась, от части.";;;01.08.2024;2;sravni.ru;10252;Екатерина None;Двойное снятие средств за Газпром Привелегии;Повседневные финансы и платежи - Переводы;positive
31.07.2024. Я положил деньги на карту Газпромбанка в их банкомате с целью сразу же открыть накопительный счёт с приветственной надбавкой под 19,5% Годовых в интернет банке. На их сайте есть рекомендация, чтобы деньги приносили максимальный доход, это нало сделать именно в последний день календарного месяца. Войдя в интернет банк, я не увидел своих денег на карточном счёте, история операций ничего не показывала, а при нажатии на строку-открыть новый продукт-сбережения-счета и вклады появлялась информация, что этот сервис недоступен. Потом я всё-таки увидел свои деньги на карточном счёте, но открыть новый продукт-накопительный счёт всё также было невозможно. На протяжении 10 часов, до конца дня 31.07.2024. Я так и не смог этого сделать, так как этот сервис был недоступен. На горячую линию было невозможно дозвониться, так как время ожидания ответа оператора составляло порядка 30 минут, а через несколько минут вызов прерывался после слов робота на английском- ам ссори. Гудбай. 01.08.2024. В 06.30. Чудесным образом всё наладилось и накопительный счёт можно было открыть. Таким образом, мои деньги пролежали в банке 1 день не принося мне прибыли. Моя упущенная выгода составила 550 р. Этот накопительный счёт можно открыть только в интернет банке или мобильном приложении. В офисе его не открывают. Я думаю, что таких как я по стране десятки тысяч. Складывается впечатление, что банк привлекает вкладчиков выгодными условиями, а потом, ссылаясь на якобы технический сбой, держит их деньги на карточных счетах с выгодой для себя. Люди теряют прибыль. В масштабах страны получается неплохая сумма. Я намерен писать жалобы в ЦБ РФ, финансовому омбудсмену и т. Д. И призываю всех пострадавших сделать тоже самое.;;;01.08.2024;1;sravni.ru;10253;Александр Прозоров;Ничего не работает;Повседневные финансы и платежи - Мобильный банк;negative
Заказала карту Union pay online, бесплатно! Менеджер при выдаче карты сказал что с вас спишут 5000 рублей. Но они вернуться если держать на счету 10000 рублей. Или траты в размере не помню точно (не запомнила так как решила что подержу 10 т. Р. На карте. Ну соотвественно выясняю что кешбека не будет из-за неправильной консультации менеджера. И кого предлагаете винить? Про то что пополнить нужно сразу в день выдачи и подобные тонкости он даже не соизводил уточнить. Вывод: банк если не планирует прощаться с 5000 рублями, то и не стоит проводить такие акции! Тем более на сайте напомню было указано, бесплатная карта!;;;01.08.2024;1;sravni.ru;10254;Жанна None;Union Pay и кэшбек;Повседневные финансы и платежи;neutral
Отрицательно! Никому не советую. Аферисты еще те! При льготной задолженности указывают сумму процентов за перевод одну, а снимают совсем другую. Как только закрою их карту, откажусь от этого банка навсегда.;;;01.08.2024;1;sravni.ru;10255;Ирина None;Не советую;Повседневные финансы и платежи - Переводы;neutral
"Сегодня, 30.07.2024 В 5:30 банк забрал у меня с карты 5000 рублей с формулировкой «Изменение баланса» (https: //prnt. sc/qUMUihITV1HL).

В поддержке сказали, что это списание комиссии за выпуск карты. Но списание комиссии за выпуск карты банк сделал вчера, 29.07.2024 В 20:05 (https: //prnt. sc/PzY9jyrrLMR-). На что в поддержке сказали, что это странно. Пообещали рассмотреть моё обращение № 1860524 до 9 августа (2 недели будут разбираться, зачем и почему забрали у меня деньги).

Банк не первый раз оставляет меня без денег. Например, сегодня я не смог оплатить завтрак, потому что на карте у меня минус (https: //prnt. sc/Nfd9c-0w9LRt). По сути, я оказался даже должен банку деньги.

Прошу банк:

1. Вернуть мне мои 5000 рублей.
2. Выплатить процент за незаконное пользование денежными средствами по п. 1 Ст. 395 ГК РФ.
3. Выплатить моральную компенсацию, за то, что оставили без денег.
4. Перестать делать такие обнаглевшие подставы своим клиентам.

P. S. Пользуясь этим банком исходите из того, что банк может оставить вас без денег. Более конченного и обнаглевшего сервиса я не встречал, этот банк прям самое дно.";;;30.07.2024;1;sravni.ru;10256;Пользователь None;***** списали деньги;Повседневные финансы и платежи;neutral
Заблокировали карту без предупреждения! Открывала счёт в Краснодаре когда была в отпуске, заблокировали в Питере. Никаких сомнительных переводов не было, а какие были, то не превышали 200000 в общем количестве! Пришла в банк на П. Германа 14/117, оператор меня держала несколько часов, не знала как оформить все это. Причем на счете было 309 рублей вроде, а вот вклад был открыт на 64000.И вот проблема в том что вернуть то в кассе не могут, потому что карта в Краснодаре открыта. Получается один банк, делает что хочет, без причин и главное предупреждений блокирует карты, а деньги вернуть не могут, как будто я вклад открыла не в их филиале, а на луне! Через день я опять поехала в банк, написать надо было очередное заявление. Перевести типо они смогут только в другой банк за вычетом процентов, причем от 3%, а в своем выдать не могут в кассе. Перевода естественно никакого я еще не получила, они пользуются моими деньгами и еще с меня за это несколько тысяч возьмут! Никогда не советовала бы этот банк, никогда!;;;29.07.2024;1;sravni.ru;10257;Ольга Литвинова;Блокируют без предупреждения и деньги вернуть проблемно;Повседневные финансы и платежи;positive
"Всё началось еще с открытия карты. Мне потребовалась карта, с помощью которой я смогу расплатиться в Японии и Китае. Сотрудник банка в отделении заверил, что это без проблем будет возможно с помощью карты union pay.

Я несколько раз переспросила точно ли она будет работать в Токио. Ответ был положительным.

Выполнив все необходимые манипуляции, сотрудник банка сказал «как только вы пополните баланс карты, так она и заработает». Баланс карты я пополнила спустя несколько дней и конечно же банк сразу же списал комиссию в размере 5 тыс.

Дальше, в Токио расплатиться картой я не смогла нигде. Карта просто не считывалась терминалом, соответственно никакой пэй не работал, также оплата не проходила через чип. Несколько дней я потратила на то, чтобы выяснить причину, при этом в настройках безопасности была выбрала страна, все было сделано для того, чтобы можно было расплатиться. Но нет, увы!

Я писала несколько дней подряд в чат, мало того, что мне не приходили уведомления об ответе, так плюс когда я заходила в чат чтобы прочитать ответ, чат был уже закрыт сотрудником. Т. Е. Решить свою проблему на территории другой страны я не могла.

Ответ банка на невозможность использования карты был таким «Спасибо за ожидание! В соответствии с Условиями использования расчетных банковских карт банка ГПБ» банк может ограничить проведение операции в целях безопасности в случае, если она носит признаки подозрительного характера (\*\*\*\*\*). Уточните, вы самостоятельно проводите операции?»

Т. Е. Находясь в магазине и оплачивая физической картой, банк мне ограничивает возможность оплаты ссылаясь на действия подозрительного характера, при этом задает вопрос-вы самостоятельно оплачиваете?

Об этом ответе естественно никакого уведомления нет, т. Е. По мнению банка я должна быть на связи 24/7 в стране с разницей часового пояса +6 часов и вовремя отвечать сама я оплачиваю или нет. Что за бред? Зачем мне тогда эта бесполезная карта, если я не могу ею расплатиться?!

Дальше я сообщила в банк, что я с маленьким ребенком лечу в Пекин, там у меня на букинге забронирован отель и оплатить я также планировала этой картой. Если оплатить я картой не смогу я останусь с ребенком попросту на улице, если это произойдет я буду писать во все инстанции, прикреплять скрины переписки, жаловаться в ЦБ. На что мне банк ответил -мы разблокируем эту возможность на сколько-то там часов! И вуаля! Банк снизошел и картой я оплатила! Но скольких нервов мне стоило это! И что означает-снимут запрет? Т. Е. На моей карте изначально был какой-то запрет о котором я знать не знала и банк не проводил мои платежи, расплатиться ею было невозможно! Банк свои условия не исполнял! А сейчас, сделать скрины переписки не представляется возможным, потому они что тупо удалены! Нормально?

Комиссия.

Расходы 10000 в месяц и возврат комиссии 5000 руб.

И естественно банк комиссию не вернул.

На мое обращение 1857145, банк ответил- нам жаль, но вы не выполнили условия за май 2024 г. По акции «Бонусы за использование UnionPay Газпромбанка. 2» Согласно п. 3.1.4 Условий. Газпромбанк.

Траты с карты у меня больше 10 тысяч рублей.

Банк просто \*\*\*\*\*, не выполняет свои обязательства. Весь отпуск был на стрессе. Никому не порекомендую и больше никогда никакими услугами данного банка пользоваться я не буду. Худшего отношения не встречала ни в одном другом банке.";;;27.07.2024;1;sravni.ru;10258;Ксения Копина;***** ГПБ. Не возвращает комиссию, union pay не работает;Повседневные финансы и платежи - Дебетовые карты;negative
Брал в банке автокредит. По сути банк \*\*\*\*\*. Вместо процентов по договору брали в 10 раз больше в случае досрочного гашения. Через три месяца просто взял кредит в другом банке и закрыл этот.;;;26.07.2024;1;sravni.ru;10259;Валерий Ваддаров;Не берите кредиты в газпромбанкн;Повседневные финансы и платежи;negative
Впервые получила карту газпромбанк. Представитель очень вежливая девушка, все объяснила, разъяснила, приехала по адресу в указанное время. Сразу показала как пользоваться мобильным приложением банка. Все прошло успешно. Знакомые, друзья уже пользуются этим банком, они и порекомендовали его, так как удобно на эту карту получать заработную плату. Довольна, буду пользоваться;;;25.07.2024;5;sravni.ru;10260;Динара None;Дебетовая карта;Другое;positive
Добрый день всем, я тоже повелась на 25 процентов кэшбэка, плюс на 1000 руб, плюс на 1000 рублей на валбрис. Итог нечего вообще, кроме 2 процентов на все виды трат, но при выводе 1 бал равняет 0.8 Рублю, в другом банке я получала кэш около 2 тыс за потраченное кол во денег, тут 400 руб. По валбрису сказали обращайтесь к организатору акции, к какому организатору я должна обращаться, если предложил это Газпромбанк. Вообщем данный банк не кому не рекомендую, не видитесь, нечего не начислят;;;25.07.2024;2;sravni.ru;10261;Елена None;Дебетовая карта и кэш;Повседневные финансы и платежи;positive
"При заключении контракта с министерством обороны выдали зарплатную карту Газпромбанка, но банк не привязал мой номер телефона к ней как основной, хотя я его указывал, сейчас находясь на СВО не могу перевести деньги семье из-за того что банк требует прийти в офис с паспортом, хотя в службе поддержки могут идентифицировать меня как своего клиента по ФИО, кодовому слову, и т. Д.
На многочисленные обращения приходит ответ от робота с просьбой прийти в отделение банка. Из окопа приехать не могу уж извините. Семья до окончания СВО будет сидеть без денег. Отвратительное отношение, из-за ошибок банка и его работников создаются абсолютно глупые и абсурдные ситуации.";;;23.07.2024;1;sravni.ru;10262;Александр Данилкин;Банковский сотрудник не привязал номер телефона, нет возможности переводов и входа в онлайн банк.;Повседневные финансы и платежи;negative
"Газпром \*\*\*\*\*и безпредельщики нарушающие указ президента об обращении граждан. Газпром Банк \*\*\*\*\* деньги 300.000, Которые отправили мне в отделении в Люблино, лохатронная шарашка!

Не знаю работник банка или их система, но до сих пор я не получил не то что деньги, 300 т. Р. , Но и официального ответа, мерзавцы.

Всем безразлично!

У человека закончился депозит и закрывая накопительный счёт девушка в офисе в Москве в люблино помогала делать перевод, вместо того что бы закрыть депозит и отдать наличность, развела как циганка товарища, что бы открыл счет для перевода, но \*\*\*\*\*это не выгодно не брать нал их девиз, а сделать перевод сумма тоже ведь не маленькая 300,000₽!

С того дня так ни чего и не поступило 300 т. Р. , Прошло два месяца! На мой счёт, было два обращения в Газпромбанк, ответа нет больше месяца! Кошмар, госбанк \*\*\*\*\* деньги среди бела дня!

Не советую пользоваться этим банком.

Да здравствует заявление в прокуратуру и банк России.";;;21.07.2024;1;sravni.ru;10263;Герасимов александр None;Газпром ***** и нарушители закона;Повседневные финансы и платежи - Ведение валютных счетов;positive
"13 апреля решил заехать в Газпромбанк обменять валюту для отпуска заграницу и стоя в очереди увидел букетик с чудными условиями, оформляешь карту, кладешь деньги, у тебя списывают 5000 и через 3 месяца их возвращают, а ещё она бесплатная! Чудно, подумал я и подошёл к девочке на стойке с вопросами по карте. Она посмотрела на буклетик и убежала восвояси уточнять данное предложение. Вернувшись, она озвучила ещё лучшую новость, нкснижаемый остаток в течение 3х месяцев должен быть 10000, всего то! И тут же выдала мне талончик к специалисту.

Собственно проблемы начались уже на этом этапе, специалист был не компетентный от слова совсем, ну да ладно подумал я, подписал все бумажки, обменял валюту, закинул 15000 на карту и счастливый умчал в отпуск. 15 Апреля 5000 списали, отсчёт пошел.

И так, сегодня 15 июля, день икс. Захожу проверить счёт, а там 9901р. Хм, интересно, пишем в поддержку что за дела.

Оказывается очередная замануха, банк включает вам с третьего месяца 99 рублей комиссию за уведомления и сообщает что неснижаемый остаток должен быть 50к и вы наш дорогой клиент идите лесом. А у меня между прочим всё это время и по сей день открыт у них вклад на 300к, но видимо они считают что провели очередного клиента, подняли 5к, ещё и план по картам выполнили.

А теперь уважаемые представители Газпромбанка, прошу разобраться в сложившейся ситуации, если надо ищите видеозаписи с отделения, связывайтесь со мной, но попробуйте доказать что я не прав. Бремя опровержения на вашей стороне.";;;18.07.2024;2;sravni.ru;10264;Андрей Пахалков;Карта Unionpay;Повседневные финансы и платежи;negative
"Всё оформил он-лайн. Курьер привёз карту и договор, в договоре отсутствует мой телефон и соответственно активировать ни чего нельзя и нужно ехать в офис.
Вопрос к менеджменту: зачем тогда эти пляски с он-лайн оформлением, если потом нужно ехать в офис?
Я ценю своё время. Вернул курьеру всё и распрощался.
Видимио Боженька уберёг.";;;15.07.2024;1;sravni.ru;10265;Андрей None;Косяки на старте!;Другое;positive
5 лет назад закрыл счет в Тобольском филиале. Год назад, благодаря налоговой, узнал, что счет не закрыт. 3 Месяца и 2 похода в офис в Новосибирске потратил на то, чтобы счет, все-таки, закрыли. В субботу 13.07.2024 Открыл счет, чтобы в этот же день открыть вклад. Активировать банковскую карту не смог, так как СМС на номер телефона не приходят, по причине того, что в архиве банка не дезактивирован телефон 5-летней давности, зато реклама от ГПБ пришла очень быстро. Техподдержка не смогла помочь. В понедельник 15.07.2024 В офисе не смогли решить проблему — предложили оформить заявку и ждать. Ждать банк будет — не я. Договор, которому не более 1-них рабочих суток расторгнут. Не нужен мне такой банк. Проблема не в филиале — сотрудники отработали без нареканий, проблема системная и программная, так как, не зависит от филиалов. Сам в ГПБ не обращусь, и других, кого смогу, отговорю. Не нужны этому банку клиенты.;;;15.07.2024;1;sravni.ru;10266;Александр None;Забегаловка;Повседневные финансы и платежи - Ведение валютных счетов;negative
